page	form_1937	form_1986	form1986_id	schmidt_form	nothofer_form	homonym_id_1937	crossref_1937	variant_1937	remark_1937	variant_1986	crossref_1986	remark_1986	remark_overall
72	di tengah laut	yũˀũː haˈˀa͜u	1	yũˀũː haˈˀa͜u									
72	arus laut	kaˀˈdœr yu	1	kaˀˈdœr yu									
72	laut jahat	yu kaˀˈdœr	1	yu kaˀˈdœr									
72	pasang naik	yuˀaˈmũh	1	yuˀaˈmũh									
72	laut sedang naik	yuː kimũhmãˀˈmũh	1	yuː kimũhmãˀˈmũh									
72	laut mau pasang	yuː kiˈmũh kɨˈhɨd	1	yuː kiˈmũh kɨˈhɨd									
72	laut besar	yuː hɔkɨˈhɨd	1	yuː hɔkɨˈhɨd									
72	laut kering	yuː kaˈˀek, yuː hɔbaˈˀək, yukaˈˀœk	1	yuː kaˈˀek , yuː hɔbaˈˀək , yukaˈˀœk									
72	pasang turun (mau kering)	yuː kiˈmũh baˈˀek	1	yuː kiˈmũh baˈˀek									
72	eˀuki	Nː yuk, iyuk	1		yuk , iyuk			eˀudi					
72	eˀuki	yukiˀ, iyukuˀ	2	yukiˀ , iyukuˀ									
72	euku	yuk	1	yuk									
72	euku	yukuˀ	2	yukuˀ									
72	eũkũ	yũk	1	yũk									
72	eũkũ	yũkũˀ	2	yũkũˀ									
72	-lah	ũkhai	1	ũkhai									
72	eũkũnã	yũˈkũn	1	yũˈkũn									
73	ũmãhã́ũ	maˈhaː	1	maˈhaː									
73	eukuripo	eakuˈrib	1	eakuˈrib									
73	eũmõ	yum; Nː yũm	1	yum	yũm								
73	eũmõ	yũmũˀ, yumũˀ	2	yũmũˀ , yumũˀ									
73	kaha·ˀunẽ́ˀẽ͜ĩ	kahˀuˈnɛˀ, kaˀuˈnɛˀ, ka[h]ˀuˈnɛˀ; Nː kahˀunɛˀ	1	kahˀuˈnɛˀ , kaˀuˈnɛˀ , ka[h]ˀuˈnɛˀ	kahˀunɛˀ								
73	kaha·ˀunẽ́ˀẽ͜ĩ	ˀuˈnɛˀha͜i, ˀunɛˀhai	2	ˀuˈnɛˀha͜i , ˀunɛˀhai									
73	e[ˀ]ũnẽkẽ	Nː unɛk	1		unɛk								
73	eũnū̃	yuˈnũː; Nː yunu	1	yuˈnũː	yunu				BV				
73	eũnū̃	yũnũˈˀũ, yunuˀ	2	yũnũˈˀũ , yunuˀ					BV				
73	eˀũnũˀũnũ	ˀanˈˀun, ˀanũˈˀũn; Nː ˀãnˀũn, ãnˀũn, anuˀũn	1	ˀanˈˀun , ˀanũˈˀũn	ˀãnˀũn , ãnˀũn , anuˀũn								
73	ki·	Nː kuɛh, ukuˀwɛh, kuˀɛh	1		kuɛh , ukuˀwɛh , kuˀɛh			kuˀúoho					
73	ki·	ku͜ɛhhai, kuʷɛhhai	2	ku͜ɛhhai , kuʷɛhhai				kuˀúoho					
73	kipa[ha]ˀúoho	kipahwɛh, paˀwɛh	1	kipahwɛh , paˀwɛh									
73	kipa[ha]ˀúoho	paˀwɛhhai	2	paˀwɛhhai									
73	k·upo	kub̚, kup	1	kub̚ , kup									
73	hō bupo	hɔɓup	1	hɔɓup									
73	euru	yur, eˈyur	1	yur , eˈyur				eudu					
73	kepala saya	yuˈruˀ	1	yuˈruˀ									
73	kepala kamu	yuˈrub	1	yuˈrub									
73	kepala kontol	yurpuˈɛb	1	yurpuˈɛb									
73	kepala adat	yur °ˀaˈda͜eˀ, kãp	1	yur °ˀaˈda͜eˀ , kãp									
73	kepala dia bulat	yuˈrub kabuˈbu	1	yuˈrub kabuˈbu									
73	eˀā ūru	yaˈur, eaˈur, ɛaˈur, ˀɛaˈur	1	yaˈur , eaˈur , ɛaˈur , ˀɛaˈur									
73	tutup kepala	Nː yɔ̃kɔ̃pyur	1		yɔ̃kɔ̃pyur								
73	ubun² (kamu?)	kipɔ̃ˈãh yuˈrub	1	kipɔ̃ˈãh yuˈrub									
73	sakit kepala (saya?)	kaˈpuh yuˈruˀ	1	kaˈpuh yuˈruˀ									
73	epurudui ūdu	pururuˈyur, pruruˈyur	1	pururuˈyur , pruruˈyur									
73	eurua	yuˈruː	1	yuˈruː									
73	kaˀi·ˀuru	kaˀˈyur	1	kaˀˈyur									
73	kaˀi·ˀuru	Nː aˀyurhai	2		aˀyurhai								
73	eũˀũ	eˈyũˀ, yũˀ, ˀyũˀ, ˀiˈyũˀ; Nː yũˀ	1	eˈyũˀ , yũˀ , ˀyũˀ , ˀiˈyũˀ	yũˀ								
73	eũˀũ	yũˈˀũˀ, yũˀuˀ	2	yũˈˀũˀ , yũˀuˀ									
73	kahã͜ũ ͡   ũ	kaːˈˀyũˀ, kahaˀiˈyũˀ, kahaˀiˈũˀ, kahaˈˀyũˀ; Nː kahaˀiũˀ, kahaɛˀyũˀ, kahaˀiuˀ	1	kaːˈˀyũˀ , kahaˀiˈyũˀ , kahaˀiˈũˀ , kahaˈˀyũˀ	kahaˀiũˀ , kahaɛˀyũˀ , kahaˀiuˀ								
73	eũˀū̃	yũˈˀũː	1	yũˈˀũː									
73	di tengah laut	yũˈˀũ haˈˀa͜u	1	yũˈˀũ haˈˀa͜u									
73	ka·ˀuˀua	kaˈˀuː	1	kaˈˀuː									
73	hɔ baˀuˀua·ra	hɔbaˀˈwar	1	hɔbaˀˈwar									
73	kipaˀuˀua	Nː pɛyaˀuː	1		pɛyaˀuː								
73	kipaˀuˀua	pɛyaˀuhai	2	pɛyaˀuhai									
73	ka·ˀũˀũĩ	kaˈˀũ	1	kaˈˀũ									
74	yahae i-ː kipē yahae	pɛˈyah, kipɛˈyah	1	pɛˈyah , kipɛˈyah									
74	masuk ke dalam	kuyahˈpək	1	kuyahˈpək									
74	dari kaˀan ke Malakoni	kur kaˈˀãn yah maŋˈkɔ̃n	1	kur kaˈˀãn yah maŋˈkɔ̃n									
74	terjun ke air	tɔˈbaˀ hɛˈbœ	1	tɔˈbaˀ hɛˈbœ									
74	yáraˀa	yar	1	yar									
74	ka·yayā	kayaˀˈyaː	1	kayaˀˈyaː									
